,label,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19
24,1,0.34064853,0.06341466,1607.182923435186,1359.8836814167475,2762.137464399308,0.10484101381095201,-287.30722,113.37074,-26.017298,38.316456,-11.458781,-7.942673,-17.212648,-9.6773815,-16.717422,-9.639184,-7.7097144,-7.774879,-0.96855026,-10.468975,2.2960742,-3.8188534,-3.9308405,-5.07179,-1.559412,-4.3636274
25,1,0.34165084,0.07084432,1894.13223856181,1508.9865059853375,3363.662993723394,0.12247091476393189,-273.12436,101.188034,-36.483997,49.90974,-13.950547,-3.0409667,-18.011847,-9.038529,-18.70081,-7.394078,-6.121361,-9.280228,0.047947165,-11.284954,5.827298,-6.1916895,-5.3119235,-1.5069665,-2.802035,-7.100281
26,1,0.3192383,0.06830677,1757.8557926849494,1427.1284185422987,3013.7234430933145,0.11683886265238003,-280.18875,108.046364,-27.950397,38.136814,-19.098724,-3.1419134,-16.613943,-13.567504,-17.02046,-10.395342,-8.709814,-5.9118576,-0.81299525,-11.996282,4.57377,-5.33632,-5.300239,-1.6511165,-2.4468338,-7.065276
27,1,0.35346428,0.06280872,1859.5261992386513,1470.4863915638641,3227.3096515667326,0.12158845600328948,-278.0663,110.04874,-36.144974,51.41942,-16.906197,-3.105532,-17.922775,-7.074713,-19.086739,-7.1360855,-7.2561736,-10.709163,0.39357343,-12.203505,4.9925346,-5.9040456,-4.4590926,-2.8796897,-1.6448052,-6.5353
28,1,0.36784527,0.05786919,1679.887254518002,1454.4958204803654,2974.040349718218,0.11130658318014706,-319.18594,102.10214,-19.884264,32.022778,-12.2344055,-5.2699165,-17.155428,-9.963929,-12.877346,-9.687436,-7.1362877,-5.8667583,-1.4513521,-9.849239,2.2044737,-4.531423,-4.1636076,-3.3819542,-3.2067406,-4.930349
29,1,0.4032013,0.05666657,1845.4458101855926,1467.0638705826818,3206.580610245743,0.12658011138254643,-299.73694,109.46094,-35.28098,46.701324,-13.845825,-0.60142845,-17.332687,-5.748651,-16.097897,-4.92403,-4.0029345,-7.96755,0.65090847,-10.930608,5.3816457,-5.6832213,-5.554175,-3.9952404,-0.9262051,-6.4248657
30,1,0.3169752,0.06316258,1800.1008254635838,1473.7175960306954,3201.5764738384046,0.11045246891931114,-293.96298,100.7106,-32.16927,41.93242,-16.624088,-6.700889,-15.058738,-10.096766,-19.9596,-8.211743,-6.70335,-9.133809,-1.6013732,-11.212999,4.3812766,-6.3017855,-5.123037,-2.0642982,-3.116063,-6.531857
31,1,0.3516978,0.06501709,1889.2396063344754,1477.5528563969876,3284.763470818015,0.1210043703439435,-284.49136,99.371315,-35.51099,50.429058,-13.537421,-4.8461943,-15.272818,-6.6072965,-17.194164,-6.3138857,-7.046783,-8.0385065,0.87796503,-12.024248,4.8805094,-6.632261,-5.4201922,-2.163157,-2.091561,-5.802487
32,1,0.3641691,0.056639414,1715.7673462006655,1441.5174018285352,2973.569519231932,0.11597000925164473,-324.3322,98.975006,-19.729742,34.58832,-11.066845,-5.1119633,-18.95186,-10.62184,-10.654452,-9.690706,-8.112005,-4.75098,-1.3512212,-10.95332,2.4128194,-4.70483,-4.062284,-3.3895476,-4.4033504,-3.8436458
33,1,0.34601727,0.05926845,1784.0570040089049,1427.28062628,3074.968906083712,0.11527178973974458,-297.9806,104.42023,-33.32121,44.34604,-12.827187,-5.4054704,-16.133348,-7.452345,-17.288263,-9.084677,-8.361334,-8.488247,-0.47997734,-11.245274,4.751983,-5.191146,-4.708672,-2.585406,-1.9274755,-6.375359
